host_id,value,source_id
2985CF79292411EAA9F2000CB4A49DF2,Linux 3.X,5
2985CF7929EF11EA941C000C0F94C6EA,Linux 3.X,5
2985CF792ABA11EA941C000C30622374,Linux 3.X,5
2985CF792ABA11EA941C000C30652AD8,Linux 3.X,5
2985CF792B6411EA941C000CA76962E8,Linux 3.X,5
2985CF792B8411EA941C000CCB5038C4,Linux 3.X,5
01193082386443800576000000000000,linux test,1
01193082785926090752000000000000,linux test,1
2985CF792B8411EA941C000CCB37EC7E,Mac OS X 10.4.X,5
2985CF79292311EAA9F2000CA97C7536,NetApp Data OnTap 6.x,6
E1A300B04554DA86EB21D734AB62029E,qwerqwerqw,1
2ACC2DE3A4DAFBDD6341A95053A26EB4,uuii,1
2985CF79292311EAA9F2000C4739484A,Windows 10,5
2985CF79292411EAA9F2000CB388FA26,Windows 10,5
2985CF79292411EAA9F2000CB3BFF986,Windows 10,5
2985CF79292311EAA9F2000CA974B9AE,Windows 2003,5
2985CF79292411EAA9F2000C67E49030,Windows 2008,5
2985CF79292411EAA9F2000CB3B8942A,Windows 2008,5
2985CF79292311EAA9F2000C396F43F4,Windows 7,5
2985CF79292311EAA9F2000C47373032,Windows 7,5
2985CF79292311EAA9F2000CA92A6D68,Windows 7,5
2985CF79292411EAA9F2000CB3C49784,Windows Longhorn,5
2985CF79292411EAA9F2000CB3C7B2B6,Windows Longhorn,5
2985CF79292311EAA9F2000CA97897B8,Windows Server 2008,6
2985CF7929ED11EA941C000CEBEBC8C0,Windows Server 2008,6
2985CF792AB811EA941C000CFCCF7314,Windows Server 2008,6
2985CF792B8411EA941C000C2D505172,Windows Server 2008,6
2985CF79292311EAA9F2000C472D6E58,Windows Vista,5
2985CF79292311EAA9F2000CA97A8E60,Windows Vista,5
2985CF79292411EAA9F2000C17F3B16E,Windows Vista,5
2985CF79292411EAA9F2000CB3B5D406,Windows Vista,5
2985CF792AB811EA941C000C9D4A8BCC,Windows Vista,5
2985CF792ABA11EA941C000C3002D770,Windows Vista,5
2985CF79292311EAA9F2000CA976CF46,Windows XP,5
2985CF79292411EAA9F2000CB363C6B6,Windows XP,5
2985CF79292411EAA9F2000CB3BBB83A,Windows XP,5
2985CF792ABA11EA941C000C3024D712,Windows XP,5
2985CF79292411EAA9F2000CB376EF84,Windows XP/2000,6
2985CF79292411EAA9F2000CB39CB5CA,Windows XP/2000,6
2985CF79292411EAA9F2000CB45D0384,Windows XP/2000,6
2985CF792B7C11EA941C000C26DE59AE,Windows XP/2000,6
