host_id,cpe,banner,source_id
2985CF79292411EAA9F2000CB3D768A0,cpe:/o:windriver:vxworks,Windriver Vxworks,5
2985CF79292411EAA9F2000CB3D9792E,cpe:/a:openbsd:openssh:6.6.1,OpenSSH 6.6.1 protocol 2.0,5
2985CF79292411EAA9F2000CB3D9792E,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB3DBDE4E,cpe:/a:openbsd:openssh:7.6p1,OpenSSH 7.6p1 Ubuntu 4ubuntu0.3 Ubuntu Linux; protocol 2.0,5
2985CF79292411EAA9F2000CB3DBDE4E,cpe:/o:linux:linux_kernel:2.6.32,Linux Linux_kernel 2.6.32,5
2985CF79292411EAA9F2000CB3E1A126,cpe:/a:igor_sysoev:nginx,nginx,5
2985CF79292411EAA9F2000CB3E1A126,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB3EE14F6,cpe:/a:openbsd:openssh:6.6.1,OpenSSH 6.6.1 protocol 2.0,5
2985CF79292411EAA9F2000CB3EE14F6,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB3EE14F6,cpe:/o:linux:linux_kernel:3.10,Linux Linux_kernel 3.10,5
2985CF79292411EAA9F2000CB3F0A57C,cpe:/a:apache:coyote_http_connector:1.1,Apache Tomcat/Coyote JSP engine 1.1,5
2985CF79292411EAA9F2000CB3F0A57C,cpe:/a:openbsd:openssh:5.2,OpenSSH 5.2 protocol 2.0,5
2985CF79292411EAA9F2000CB3F0A57C,cpe:/a:vsftpd:vsftpd:2.0.1,vsftpd 2.0.1,5
2985CF79292411EAA9F2000CB3F0A57C,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB3F0A57C,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB3F36F0A,cpe:/a:openbsd:openssh:7.9,OpenSSH 7.9 protocol 2.0,5
2985CF79292411EAA9F2000CB3F36F0A,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB3F7EAE4,cpe:/a:lighttpd:lighttpd:1.4.42,lighttpd 1.4.42,5
2985CF79292411EAA9F2000CB3F7EAE4,cpe:/o:linux:linux_kernel:3.18,Linux Linux_kernel 3.18,5
2985CF79292411EAA9F2000CB3FC9850,cpe:/a:apache:coyote_http_connector:1.1,Apache Tomcat/Coyote JSP engine 1.1,5
2985CF79292411EAA9F2000CB3FC9850,cpe:/a:openbsd:openssh:5.2,OpenSSH 5.2 protocol 2.0,5
2985CF79292411EAA9F2000CB3FC9850,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB400284E,cpe:/a:apache:coyote_http_connector:1.1,Apache Tomcat/Coyote JSP engine 1.1,5
2985CF79292411EAA9F2000CB400284E,cpe:/a:openbsd:openssh:5.2,OpenSSH 5.2 protocol 2.0,5
2985CF79292411EAA9F2000CB400284E,cpe:/a:vsftpd:vsftpd:2.0.1,vsftpd 2.0.1,5
2985CF79292411EAA9F2000CB400284E,cpe:/o:linux:linux_kernel:2.6.32,Linux Linux_kernel 2.6.32,5
2985CF79292411EAA9F2000CB4030ECE,cpe:/a:matt_johnston:dropbear_ssh_server:2011.54,Dropbear sshd 2011.54 protocol 2.0,5
2985CF79292411EAA9F2000CB4030ECE,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB4067FC8,cpe:/a:openbsd:openssh:6.6.1,OpenSSH 6.6.1 protocol 2.0,5
2985CF79292411EAA9F2000CB4067FC8,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB4067FC8,cpe:/o:linux:linux_kernel:3.10,Linux Linux_kernel 3.10,5
2985CF79292411EAA9F2000CB409E866,cpe:/a:apache:coyote_http_connector:1.1,Apache Tomcat/Coyote JSP engine 1.1,5
2985CF79292411EAA9F2000CB409E866,cpe:/a:openbsd:openssh:5.2,OpenSSH 5.2 protocol 2.0,5
2985CF79292411EAA9F2000CB409E866,cpe:/a:vsftpd:vsftpd:2.0.1,vsftpd 2.0.1,5
2985CF79292411EAA9F2000CB409E866,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB409E866,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB40C69C4,cpe:/a:openbsd:openssh:6.6.1,OpenSSH 6.6.1 protocol 2.0,5
2985CF79292411EAA9F2000CB40C69C4,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB40ED8BC,cpe:/a:apache:coyote_http_connector:1.1,Apache Tomcat/Coyote JSP engine 1.1,5
2985CF79292411EAA9F2000CB40ED8BC,cpe:/a:openbsd:openssh:5.2,OpenSSH 5.2 protocol 2.0,5
2985CF79292411EAA9F2000CB40ED8BC,cpe:/a:vsftpd:vsftpd:2.0.1,vsftpd 2.0.1,5
2985CF79292411EAA9F2000CB40ED8BC,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB40ED8BC,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB4115164,cpe:/a:openbsd:openssh:7.4,OpenSSH 7.4 protocol 2.0,5
2985CF79292411EAA9F2000CB4115164,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB4170A5A,cpe:/a:apache:coyote_http_connector:1.1,Apache Tomcat/Coyote JSP engine 1.1,5
2985CF79292411EAA9F2000CB4170A5A,cpe:/a:openbsd:openssh:5.2,OpenSSH 5.2 protocol 2.0,5
2985CF79292411EAA9F2000CB4170A5A,cpe:/a:vsftpd:vsftpd:2.0.1,vsftpd 2.0.1,5
2985CF79292411EAA9F2000CB4170A5A,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB41A3810,cpe:/a:apache:coyote_http_connector:1.1,Apache Tomcat/Coyote JSP engine 1.1,5
2985CF79292411EAA9F2000CB41A3810,cpe:/a:openbsd:openssh:5.2,OpenSSH 5.2 protocol 2.0,5
2985CF79292411EAA9F2000CB41A3810,cpe:/a:vsftpd:vsftpd:2.0.1,vsftpd 2.0.1,5
2985CF79292411EAA9F2000CB41A3810,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB41A3810,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB41DBE04,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB4203558,cpe:/a:lighttpd:lighttpd:1.4.42,lighttpd 1.4.42,5
2985CF79292411EAA9F2000CB4203558,cpe:/o:linux:linux_kernel:3.18,Linux Linux_kernel 3.18,5
2985CF79292411EAA9F2000CB422DDC6,cpe:/a:lighttpd:lighttpd:1.4.42,lighttpd 1.4.42,5
2985CF79292411EAA9F2000CB422DDC6,cpe:/o:linux:linux_kernel:3.18,Linux Linux_kernel 3.18,5
2985CF79292411EAA9F2000CB4258C1A,cpe:/a:openbsd:openssh:7.9,OpenSSH 7.9 protocol 2.0,5
2985CF79292411EAA9F2000CB4258C1A,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB4280BE8,cpe:/a:openbsd:openssh:5.2,OpenSSH 5.2 protocol 2.0,5
2985CF79292411EAA9F2000CB4280BE8,cpe:/a:vsftpd:vsftpd:2.0.1,vsftpd 2.0.1,5
2985CF79292411EAA9F2000CB4280BE8,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB42BE862,cpe:/a:openbsd:openssh:7.9,OpenSSH 7.9 protocol 2.0,5
2985CF79292411EAA9F2000CB42BE862,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB42FD760,cpe:/a:apache:coyote_http_connector:1.1,Apache Tomcat/Coyote JSP engine 1.1,5
2985CF79292411EAA9F2000CB42FD760,cpe:/a:openbsd:openssh:5.2,OpenSSH 5.2 protocol 2.0,5
2985CF79292411EAA9F2000CB42FD760,cpe:/a:vsftpd:vsftpd:2.0.1,vsftpd 2.0.1,5
2985CF79292411EAA9F2000CB42FD760,cpe:/o:linux:linux_kernel:2.6,Linux Linux_kernel 2.6,5
2985CF79292411EAA9F2000CB42FD760,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB433960C,cpe:/a:apache:coyote_http_connector:1.1,Apache Tomcat/Coyote JSP engine 1.1,5
2985CF79292411EAA9F2000CB433960C,cpe:/a:openbsd:openssh:5.2,OpenSSH 5.2 protocol 2.0,5
2985CF79292411EAA9F2000CB433960C,cpe:/a:vsftpd:vsftpd:2.0.1,vsftpd 2.0.1,5
2985CF79292411EAA9F2000CB433960C,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB436ECF8,cpe:/a:openbsd:openssh:7.4,OpenSSH 7.4 protocol 2.0,5
2985CF79292411EAA9F2000CB436ECF8,cpe:/o:linux:linux_kernel:3,Linux Linux_kernel 3,5
2985CF79292411EAA9F2000CB43BE528,cpe:/a:openbsd:openssh:5.2,OpenSSH 5.2 protocol 2.0,5
2985CF79292411EAA9F2000CB43BE528,cpe:/a:vsftpd:vsftpd:2.0.1,vsftpd 2.0.1,5
