timestamp,attackerIP,victimIP,attackerPort,victimPort,attackerAsset,victimAsset,eventName,eventType,attackerName,victimName,attackerMac,victimMac,attackerHost,victimHost,attackerNet,victimNet
2020-03-26 02:06:48,0.0.0.0,0.0.0.0,0,22,2,2,SSHd: Connection closed,Connection_Closed,,,,,,,,
2020-03-26 02:05:18,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:05:18,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:05:18,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:05:18,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:06:48,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:07:12,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:07:12,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:07:14,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:07:14,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:07:16,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:07:16,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:07:18,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:07:18,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:07:20,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:07:26,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:08:38,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:08:38,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:11:48,0.0.0.0,0.0.0.0,0,22,2,2,SSHd: Connection closed,Connection_Closed,,,,,,,,
2020-03-26 02:16:48,0.0.0.0,0.0.0.0,0,22,2,2,SSHd: Connection closed,Connection_Closed,,,,,,,,
2020-03-26 02:16:50,0.0.0.0,0.0.0.0,0,0,2,2,su: Successful switch user,Admin_Access,,,,,,,,
2020-03-26 02:16:50,0.0.0.0,0.0.0.0,0,0,2,2,su: Successful switch user,Admin_Access,,,,,,,,
2020-03-26 02:11:57,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:11:57,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:11:57,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:11:57,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:12:13,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:12:13,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:12:15,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:12:15,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:12:17,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:12:17,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:12:21,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:12:27,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:15:17,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:15:17,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:15:17,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:15:17,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Interface entered in promiscuous(sniffing) mode.,Network_Activity,,,,,,,,
2020-03-26 02:16:41,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
2020-03-26 02:16:41,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:41,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session closed.,Logout,,,,,,,,
2020-03-26 02:16:43,0.0.0.0,0.0.0.0,0,0,2,2,HIDS: Login session opened.,Login,,,,,,,,
