hostId,ip,port,name,version,sourceId
421D8A7B757411EAB05C44A8EDE842C0,192.168.3.198,7070,http,cpe:/a:mortbay:jetty:6.1.26,5
421D8A7B757411EAB05C44A8EDE842C0,192.168.3.198,8009,ajp13,Apache Jserv  Protocol v1.3,5
421D8A7B757411EAB05C44A8EDE842C0,192.168.3.198,8080,http,cpe:/a:apache:coyote_http_connector:1.1,5
421D8A7B757411EAB05C44A8EDE842C0,192.168.3.198,8443,https,cpe:/a:apache:coyote_http_connector:1.1,5
421D8A7B787411EAB05C44A8DC730DEC,192.168.0.90,22,ssh,,6
421D8A7B848311EAB05C44A8221EF12A,192.168.3.161,3306,unknown,,6
421D8A7B85D211EAB1AD44A8B5D404BE,192.168.0.112,80,http,,6
5B9366B0BF5E46958A1C19CD905258D9,192.168.0.40,135,msrpc,Microsoft Windows RPC,6
5B9366B0BF5E46958A1C19CD905258D9,192.168.0.40,139,netbios-ssn,Microsoft Windows netbios-ssn,6
5B9366B0BF5E46958A1C19CD905258D9,192.168.0.40,443,https,VMware VirtualCenter Web service,6
5B9366B0BF5E46958A1C19CD905258D9,192.168.0.40,445,microsoft-ds,Microsoft Windows 7 - 10 microsoft-ds  workgroup: WORKGROUP,6
5B9366B0BF5E46958A1C19CD905258D9,192.168.0.40,514,unknown,,6
5B9366B0BF5E46958A1C19CD905258D9,192.168.0.40,554,unknown,,6
5B9366B0BF5E46958A1C19CD905258D9,192.168.0.40,3389,ms-wbt-server,Microsoft Terminal Service,6
674D719E383048F1AC29920EA30C8C3E,192.168.0.14,3306,mysql,cpe:/a:mysql:mysql,5
