id,name
0,UNKNOWN
1,MANUAL-LOCKED
2,MANUAL
3,OCS
4,WMI
5,NMAP
6,PRADS
7,OPENVAS
8,NTOP
9,LDAP
10,NAGIOS
11,NEDI
12,NESSUS
13,DHCP
14,SNARE
15,ARPALERT
16,POf
17,PADS
18,HIDS
